Site;Country;Zone;UTMzone;Datum;Easting;Northing;Elevation;Lat;Long
Blowdown;Canada;AT;10;NAD83;559300;5579793;2186;50.367215;-122.16619
Blowdown;Canada;T;10;NAD83;559219;5579577;2086;50.365281;-122.167362
Texas Creek;Canada;AT;10;NAD83;571101;5587847;2302;50.438329;-121.998757
Texas Creek;Canada;T;10;NAD83;571250;5587604;2167;50.436126;-121.996705
Churchill, MB;Canada;AT;15;WGS84;450426;6512590;8;58.750522;-93.856699
Churchill, MB;Canada;T;15;WGS84;451077;6509172;21;58.719903;-93.844706
Wolf Creek, YK;Canada;AT;8;WGS84;492738;6714216;1532;60.563851;-135.132456
Wolf Creek, YK;Canada;T;8;WGS84;493395.2;6714451;1426;60.565972;-135.120477
Wolf Creek, YK;Canada;F;8;WGS84;495538.1;6715854;1283;60.578598;-135.081421
Canol Trail, NWT;Canada;AT;9;WGS84;470137;7031185;1671;63.407972;-129.597932
Canol Trail, NWT;Canada;T;9;WGS84;461969;7023451;1345;63.33779;-129.759625
Craigieburn Range;New Zealand;AT;59;GoogleE;558122.6;5226612;1360;-43.0938;171.714173
Las Cutas;Spain;AT;30;WGS84;743044;4724410;2170;42.633796;-0.035825
Las Cutas;Spain;T;30;WGS84;742961;4724364;2136;42.633409;-0.036856
Tesso;Spain;AT;31;WGS84;339524;4719908;2380;42.614907;1.043378
Tesso;Spain;T;31;WGS84;339566;4719931;2350;42.615123;1.043883
Rif Blanc;France;AT;32;WGS84;297968;4991440;2302;45.047597;6.434514
Ruby Ranges (Printers), YT;Canada;AT;7;WGS84;642604;6787519;1656;61.19605;-138.346502
Ruby Ranges (Printers), YT;Canada;T;7;WGS84;642351;6787053;1390;61.191963;-138.351555
Mt Hotham;Australia;AT;55;;511110.3;5907528;1804;-36.96354;147.124808
Mount Roberts, AK;United States;AT;8;WGS84;537151.5;6461610;870;58.293931;-134.36627
Mount Roberts, AK;United States;T;8;WGS84;536317.8;6461863;619;58.296273;-134.380451
Mount Roberts, AK;United States;F;8;WGS84;536540.1;6462038;550;58.297826;-134.376631
Davos;Switzerland;;;;;;;;
12 Mile;United States;AT;6;WGS84;547259.5;7253497;1021;65.400721;-145.982518
Brooks;United States;AT;6;WGS84;386495.9;7547130;742.4928;68.015866;-149.717692
